cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538448384382,0,0,load,/,{},{},20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448386130,510,129,mousemove,//*[@id='tads']/ol/li,{},"{""topRight"":272,""topLeft"":360,""bottomRight"":290,""bottomLeft"":374,""middle"":66,""inTarget"":true}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448386280,515,54,mousemove,//*[@id='lst-ib'],{},"{""topRight"":276,""topLeft"":372,""bottomRight"":320,""bottomLeft"":406,""middle"":133,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448386798,512,54,mousemove,//*[@id='lst-ib'],{},"{""topRight"":279,""topLeft"":369,""bottomRight"":323,""bottomLeft"":403,""middle"":132,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448386948,306,52,mousemove,//*[@id='lst-ib'],{},"{""topRight"":482,""topLeft"":172,""bottomRight"":509,""bottomLeft"":237,""middle"":204,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448387181,269,48,mousemove,//*[@id='lst-ib'],{},"{""topRight"":519,""topLeft"":142,""bottomRight"":545,""bottomLeft"":218,""middle"":236,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448387520,0,0,blur,/,{},{},20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448412011,0,0,focus,/,{},{},20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448412328,554,22,mouseover,//*[@id='sfdiv']/div,{},"{""topRight"":250,""topLeft"":417,""bottomRight"":309,""bottomLeft"":455,""middle"":179,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448412479,431,267,mouseover,//*[@id='rso']/div[1]/div/div[1]/div/div/div/div[1],{},"{""topRight"":379,""topLeft"":315,""bottomRight"":353,""bottomLeft"":283,""middle"":96,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448412629,314,315,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div/div[2]/a[2]/font/font[1],{},"{""topRight"":505,""topLeft"":251,""bottomRight"":475,""bottomLeft"":184,""middle"":205,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448412896,279,318,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/div/div/div[2]/a[2]/font/font[1],{},"{""topRight"":539,""topLeft"":232,""bottomRight"":510,""bottomLeft"":156,""middle"":234,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448413279,286,246,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":511,""topLeft"":182,""bottomRight"":496,""bottomLeft"":137,""middle"":192,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448413430,341,247,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":458,""topLeft"":227,""bottomRight"":441,""bottomLeft"":192,""middle"":143,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448413596,375,249,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":425,""topLeft"":257,""bottomRight"":407,""bottomLeft"":226,""middle"":115,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448413762,392,249,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":409,""topLeft"":272,""bottomRight"":390,""bottomLeft"":243,""middle"":103,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448413927,397,249,mousemove,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":404,""topLeft"":276,""bottomRight"":385,""bottomLeft"":248,""middle"":99,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448414683,404,247,mousedown,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":397,""topLeft"":282,""bottomRight"":378,""bottomLeft"":255,""middle"":93,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448414853,404,247,mouseup,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":397,""topLeft"":282,""bottomRight"":378,""bottomLeft"":255,""middle"":93,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448414853,404,247,click,//*[@id='rso']/div[1]/div/div[1]/div/h3/a/font/font,{},"{""topRight"":397,""topLeft"":282,""bottomRight"":378,""bottomLeft"":255,""middle"":93,""inTarget"":false}",20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448414853,0,0,beforeunload,/,{},{},20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
0,1538448415197,0,0,unload,/,{},{},20181002044334,"Tue, 02 Oct 2018 04:43:34 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x657,1349x1724,u5vc2d3p5uoii5ea8ce5t5dic3-native-top_left,u5vc2d3p5uoii5ea8ce5t5dic3,0,4
