cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1485869493424,0,0,load,/,{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869497947,0,0,focus,/,{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869497959,0,0,select,//*[@id='lst-ib'],{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869498751,228,8,mouseover,//*[@id='tsf']/div[2]/div[2],{},"{""topRight"":525,""topLeft"":140,""bottomRight"":603,""bottomLeft"":328,""middle"":292,""inTarget"":false}",20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869498905,116,137,mouseover,//*[@id='rhscol'],{},"{""topRight"":629,""topLeft"":33,""bottomRight"":654,""bottomLeft"":183,""middle"":329,""inTarget"":false}",20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869499719,0,0,scroll,/,{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869499869,94,244,mousemove,//*[@id='rhscol'],{},"{""topRight"":664,""topLeft"":142,""bottomRight"":654,""bottomLeft"":83,""middle"":343,""inTarget"":false}",20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869500020,180,178,mousemove,//*[@id='platop0'],{},"{""topRight"":569,""topLeft"":89,""bottomRight"":582,""bottomLeft"":151,""middle"":258,""inTarget"":true}",20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869500727,0,0,blur,/,{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869526796,0,0,beforeunload,/,{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
0,1485869526800,0,0,unload,/,{},{},20170131143012,"Tue, 31 Jan 2017 14:30:12 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",820x615,820x550,1070x1808,c6a21ddv7p7lrr5kj9tr5l3re6-dd-top_left,c6a21ddv7p7lrr5kj9tr5l3re6,0,3
