cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1483753425881,0,0,load,/,{},{},20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753485801,0,0,focus,/,{},{},20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753491552,0,0,blur,/,{},{},20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753511114,0,0,focus,/,{},{},20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753511511,376,9,mouseover,//*[@id='sfdiv'],{},"{""topRight"":379,""topLeft"":266,""bottomRight"":621,""bottomLeft"":560,""middle"":305,""inTarget"":false}",20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753511686,262,114,mousemove,//*[@id='tvcap']/div/div/div[1]/h3/a/span,{},"{""topRight"":480,""topLeft"":134,""bottomRight"":623,""bottomLeft"":419,""middle"":260,""inTarget"":true}",20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753512063,254,130,mousedown,//*[@id='tvcap']/div/div/div[1]/h3/a/span,{},"{""topRight"":489,""topLeft"":128,""bottomRight"":619,""bottomLeft"":401,""middle"":254,""inTarget"":true}",20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753512138,254,130,mouseup,//*[@id='tvcap']/div/div/div[1]/h3/a/span,{},"{""topRight"":489,""topLeft"":128,""bottomRight"":619,""bottomLeft"":401,""middle"":254,""inTarget"":true}",20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753512138,254,130,click,//*[@id='tvcap']/div/div/div[1]/h3/a/span,{},"{""topRight"":489,""topLeft"":128,""bottomRight"":619,""bottomLeft"":401,""middle"":254,""inTarget"":true}",20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
0,1483753512138,0,0,beforeunload,/,{},{},20170107024215,"Sat, 07 Jan 2017 02:42:15 +0100","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1366x768,1366x638,1349x1680,6okid3nfpiv8o6dbfi1g066ft4-dd-top_left,6okid3nfpiv8o6dbfi1g066ft4,1,1
