cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1491314178194,0,0,load,/,{},{},20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314178664,357,318,mousemove,//*[@id='rso']/div[1]/div/table/tbody/tr[3]/td[1]/div,{},"{""topRight"":912,""topLeft"":482,""bottomRight"":967,""bottomLeft"":579,""middle"":666,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314178887,356,318,mousemove,//*[@id='rso']/div[1]/div/table/tbody/tr[3]/td[1]/div,{},"{""topRight"":913,""topLeft"":483,""bottomRight"":968,""bottomLeft"":580,""middle"":667,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179039,335,162,mouseover,//*[@id='rso']/div[1]/div/div/div/div/span,{},"{""topRight"":911,""topLeft"":458,""bottomRight"":1058,""bottomLeft"":707,""middle"":724,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179195,335,148,mousemove,//*[@id='rso']/div[1]/div/div/div/div/div,{},"{""topRight"":910,""topLeft"":457,""bottomRight"":1065,""bottomLeft"":718,""middle"":729,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179346,339,126,mousemove,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":905,""topLeft"":451,""bottomRight"":1073,""bottomLeft"":732,""middle"":733,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179480,339,125,mousedown,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":905,""topLeft"":451,""bottomRight"":1074,""bottomLeft"":733,""middle"":733,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179624,339,125,mouseup,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":905,""topLeft"":451,""bottomRight"":1074,""bottomLeft"":733,""middle"":733,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179624,339,125,click,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":905,""topLeft"":451,""bottomRight"":1074,""bottomLeft"":733,""middle"":733,""inTarget"":false}",20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
0,1491314179625,0,0,beforeunload,/,{},{},20170404155434,"Tue, 04 Apr 2017 15:54:34 +0200","Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366x768,1366x638,1349x1712,22mosbmhc0vngpivt7r3prvtc7-dd-top_right,22mosbmhc0vngpivt7r3prvtc7,0,2
