cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538422254045,0,0,load,/,{},{},20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422256442,446,208,mousemove,//*[@id='tads']/ol/li,{},"{""topRight"":317,""topLeft"":336,""bottomRight"":298,""bottomLeft"":318,""middle"":50,""inTarget"":true}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422258853,0,0,blur,/,{},{},20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422356977,0,0,focus,/,{},{},20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422362531,492,23,mouseover,//*[@id='lst-ib'],{},"{""topRight"":264,""topLeft"":372,""bottomRight"":319,""bottomLeft"":413,""middle"":148,""inTarget"":false}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422362681,470,227,mouseover,//*[@id='rso']/div[1]/div[1]/div/h3,{},"{""topRight"":302,""topLeft"":365,""bottomRight"":274,""bottomLeft"":342,""middle"":76,""inTarget"":false}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422362844,472,262,mousemove,//*[@id='rso']/div[1]/div[1]/div/div/div/div,{},"{""topRight"":317,""topLeft"":380,""bottomRight"":275,""bottomLeft"":347,""middle"":109,""inTarget"":false}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422362996,320,215,mousemove,//*[@id='tads'],{},"{""topRight"":439,""topLeft"":224,""bottomRight"":424,""bottomLeft"":192,""middle"":129,""inTarget"":false}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422363196,318,215,mousemove,//*[@id='tads'],{},"{""topRight"":441,""topLeft"":222,""bottomRight"":426,""bottomLeft"":190,""middle"":130,""inTarget"":false}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
0,1538422363361,317,221,mousemove,//*[@id='center_col'],{},"{""topRight"":444,""topLeft"":224,""bottomRight"":427,""bottomLeft"":189,""middle"":134,""inTarget"":false}",20181001212803,"Mon, 01 Oct 2018 21:28:03 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1366x768,1366x667,1349x1711,r08tsuticpmlm1hq4jlekcemu2-native-top_left,r08tsuticpmlm1hq4jlekcemu2,0,4
