cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1489667989691,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489667992203,0,0,blur,/,{},{},0.0,0.0,2512.0,0.0,0.0,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668003355,0,0,focus,/,{},{},0.0,0.0,11152.0,0.0,0.0,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668003722,0,0,blur,/,{},{},0.0,0.0,367.0,0.0,0.0,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668017952,430,19,mouseover,//*[@id='lst-ib'],{},"{""topRight"":819,""topLeft"":370,""bottomRight"":846,""bottomLeft"":427,""middle"":608,""inTarget"":false}",0.31478770131771594,0.02945736434108527,14230.0,0.03024733399525215,0.03024733399525215,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668018106,366,148,mousemove,//*[@id='rso']/div[1]/div[1]/div/div/div/div[1]/cite/b[2],{},"{""topRight"":879,""topLeft"":426,""bottomRight"":884,""bottomLeft"":436,""middle"":652,""inTarget"":false}",0.2679355783308931,0.22945736434108527,154.0,0.9350874816906557,0.9048401476954036,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668018262,356,150,mousemove,//*[@id='rso']/div[1]/div[1]/div/div/div/div[1]/cite/b[2],{},"{""topRight"":889,""topLeft"":436,""bottomRight"":894,""bottomLeft"":445,""middle"":662,""inTarget"":false}",0.26061493411420206,0.23255813953488372,156.0,0.06537204504606134,-0.8697154366445944,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668018418,293,115,mousemove,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":951,""topLeft"":497,""bottomRight"":960,""bottomLeft"":515,""middle"":727,""inTarget"":false}",0.2144948755490483,0.17829457364341086,156.0,0.46198340376223723,0.3966113587161759,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668018738,290,116,mousemove,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":954,""topLeft"":500,""bottomRight"":963,""bottomLeft"":517,""middle"":730,""inTarget"":false}",0.212298682284041,0.17984496124031008,320.0,0.009882117688026186,-0.4521012860742111,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
0,1489668019342,290,119,mousedown,//*[@id='rso']/div[1]/div[1]/div/h3/a,{},"{""topRight"":954,""topLeft"":500,""bottomRight"":963,""bottomLeft"":517,""middle"":729,""inTarget"":false}",0.212298682284041,0.18449612403100776,604.0,0.004966887417218543,-0.004915230270807642,20170316133825,"Thu, 16 Mar 2017 13:38:25 +0100",Mozilla/5.0 (Windows NT 5.1; WOW64; rv:11.0; WUID=b32f00294a76e22e5928b4302c64862d; WTB=18122; WUID=93177034a6aec4d58dfbf3894635457d; WTB=29369) Gecko/20100101 Firefox/11.0,1366x768,1366x645,1349x1643,j98vrl29bfgi8vov7kgjck42t6-dd-top_right,j98vrl29bfgi8vov7kgjck42t6,0,5
