cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1483725002397,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725035016,0,0,focus,/,{},{},0.0,0.0,32619.0,0.0,0.0,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725035529,302,32,mouseover,//*[@id='lst-ib'],{},"{""topRight"":446,""topLeft"":189,""bottomRight"":650,""bottomLeft"":510,""middle"":307,""inTarget"":false}",0.2359375,0.04610951008645533,513.0,0.5919895361761205,0.5919895361761205,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725035680,214,218,mousemove,//*[@id='platop0'],{},"{""topRight"":540,""topLeft"":141,""bottomRight"":604,""bottomLeft"":305,""middle"":239,""inTarget"":true}",0.1671875,0.31412103746397696,151.0,1.3626944262357172,0.7707048900595967,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725035897,234,208,mousemove,//*[@id='platop0'],{},"{""topRight"":518,""topLeft"":147,""bottomRight"":592,""bottomLeft"":321,""middle"":225,""inTarget"":true}",0.1828125,0.29971181556195964,217.0,0.10304460725805482,-1.2596498189776624,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725036116,236,205,mousemove,//*[@id='platop0'],{},"{""topRight"":516,""topLeft"":147,""bottomRight"":591,""bottomLeft"":324,""middle"":224,""inTarget"":true}",0.184375,0.2953890489913545,219.0,0.016463704454173465,-0.08658090280388137,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725036397,236,205,mousedown,//*[@id='platop0'],{},"{""topRight"":516,""topLeft"":147,""bottomRight"":591,""bottomLeft"":324,""middle"":224,""inTarget"":true}",0.184375,0.2953890489913545,281.0,0.0,-0.016463704454173465,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725036466,236,205,mouseup,//*[@id='platop0'],{},"{""topRight"":516,""topLeft"":147,""bottomRight"":591,""bottomLeft"":324,""middle"":224,""inTarget"":true}",0.184375,0.2953890489913545,69.0,0.0,0.0,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725036468,236,205,click,//*[@id='platop0'],{},"{""topRight"":516,""topLeft"":147,""bottomRight"":591,""bottomLeft"":324,""middle"":224,""inTarget"":true}",0.184375,0.2953890489913545,2.0,0.0,0.0,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
0,1483725036468,0,0,beforeunload,/,{},{},0.0,0.0,0.0,0.0,0.0,20170106182547,"Fri, 06 Jan 2017 18:25:47 +0100","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1280x800,1280x694,1263x2058,9bruepiqqb7ik0fuf1hfqcshn3-dd-top_left,9bruepiqqb7ik0fuf1hfqcshn3,1,5
