cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1486781853613,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781868356,0,0,focus,/,{},{},0.0,0.0,14743.0,0.0,0.0,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781868388,0,0,select,//*[@id='lst-ib'],{},{},0.0,0.0,32.0,0.0,0.0,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781868595,279,4,mouseover,//*[@id='searchform']/div/div,{},"{""topRight"":474,""topLeft"":182,""bottomRight"":687,""bottomLeft"":529,""middle"":342,""inTarget"":false}",0.279,0.004149377593360996,207.0,1.34796460078174,1.34796460078174,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781868764,231,257,mousemove,//*[@id='tvcap']/div/div/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/a,{},"{""topRight"":533,""topLeft"":183,""bottomRight"":571,""bottomLeft"":274,""middle"":210,""inTarget"":true}",0.231,0.266597510373444,169.0,1.5237461920861795,0.17578159130443938,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781868925,247,405,mouseover,//*[@id='tvcap']/div/div/div[2]/div[1]/div[5]/div[1],{},"{""topRight"":578,""topLeft"":322,""bottomRight"":506,""bottomLeft"":159,""middle"":211,""inTarget"":true}",0.247,0.42012448132780084,161.0,0.9246108852635228,-0.5991353068226567,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781869080,307,512,mouseover,//*[@id='tvcap']/div,{},"{""topRight"":595,""topLeft"":444,""bottomRight"":435,""bottomLeft"":179,""middle"":240,""inTarget"":false}",0.307,0.5311203319502075,155.0,0.7914475206478608,-0.13316336461566192,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781869234,323,539,mousemove,//*[@id='rso']/div[1]/div/div/h3/a,{},"{""topRight"":603,""topLeft"":475,""bottomRight"":420,""bottomLeft"":197,""middle"":256,""inTarget"":false}",0.323,0.5591286307053942,154.0,0.20379681592824955,-0.5876507047196113,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781869398,0,0,scroll,/,{},{},0.0,0.0,164.0,3.8315299364323794,3.62773312050413,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
0,1486781869617,345,937,mouseover,//*[@id='rso']/div[2],{},"{""topRight"":921,""topLeft"":859,""bottomRight"":582,""bottomLeft"":478,""middle"":635,""inTarget"":false}",0.345,0.9719917012448133,219.0,4.559341866642277,0.7278119302098975,20170211035552,"Sat, 11 Feb 2017 03:55:52 +0100","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1920x1080,1000x964,1058x1798,kcdae0dts4li1k7kkpo1rsmng7-dd-top_left,kcdae0dts4li1k7kkpo1rsmng7,0,2
